,PQ1.1_Modeling_language_experience,,,,,,PQ1.2_Modeling_language_reference,,PQ2.1_Modeling_tool_experiences,,,,,,,,,,,,PQ2.2_Modeling_tool_reference,,PQ3_Modeling_exp_time,,PQ4_Modeling_activities,,,,,,,PQ5_Modeling_Self-evaluation,PQ6_Modeling_context,,,,,,PQ7_Modeling_learning,,,,,,,,,PQ8_Educational_level?,,PP01_Frequency ,,PP01_Causes,,,,,PP01_Reponses,,,,,,,,PP02_Frequency ,,PP02_Causes,,,,,PP02_Reponses,,,,,,,,PP03_Frequency ,,PP03_Causes,,,,,PP03_Reponses,,,,,,,,PP04_Frequency ,,PP04_Causes,,,,,PP04_Reponses,,,,,,,,PP05_Frequency ,,PP05_Causes,,,,,PP05_Reponses,,,,,,,,PP06_Frequency ,,PP06_Causes,,,,,PP06_Reponses,,,,,,,,PP07_Frequency ,,PP07_Causes,,,,,PP07_Reponses,,,,,,,,PP08_Frequency ,,PP08_Causes,,,,,PP08_Reponses,,,,,,,,PP09_Frequency ,,PP09_Causes,,,,,PP09_Reponses,,,,,,,,PP10_Frequency ,,PP10_Causes,,,,,PP10_Reponses,,,,,,,,PP11_Frequency ,,PP11_Causes,,,,,PP11_Reponses,,,,,,,,PP12_Frequency ,,PP12_Causes,,,,,PP12_Reponses,,,,,,,,PP13_Frequency ,,PP13_Causes,,,,,PP13_Reponses,,,,,,,,PP14_Frequency ,,PP14_Causes,,,,,PP14_Reponses,,,,,,,,PP15_Frequency ,,PP15_Causes,,,,,PP15_Reponses,,,,,,,,PP16_Frequency ,,PP16_Causes,,,,,PP16_Reponses,,,,,,,
14018406944,1,1,1,0,0,,OntoUML,,1,0,0,0,0,0,0,0,0,0,0,,Visual Paradigm,,Between 1 and 3 years.,,0,1,0,0,0,0,,Intermediate,0,1,1,0,0,,0,0,1,0,0,0,0,0,,Master's degree or higher education,,0,,,,,,,,,,,,,,,1,Usually,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,,1,Always,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,,Disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,,1,Always,Strongly disagree,Neither agree nor disagree,Strongly agree,Agree,,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,,0,,,,,,,,,,,,,,,1,Rarely,Agree,Strongly disagree,Strongly agree,Strongly disagree,,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,,0,,,,,,,,,,,,,,,1,Sometimes,Strongly disagree,Neither agree nor disagree,Agree,Strongly disagree,,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly disagree,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,1,Usually,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly disagree,,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly agree,Agree,Strongly disagree,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,1,Always,Agree,Strongly agree,Strongly agree,Neither agree nor disagree,,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,
14018406935,1,0,0,0,0,,UML,,0,0,1,1,1,0,0,1,0,0,0,,Draw.io,,More than 3 years,7,1,1,1,1,0,0,,Advanced,1,1,0,0,0,,1,0,1,0,0,0,0,0,,Bachelor's degree,,0,,,,,,,,,,,,,,,1,Sometimes,Strongly agree,Strongly agree,Agree,Neither agree nor disagree,,Agree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,,0,,,,,,,,,,,,,,,1,Usually,Agree,Agree,Strongly agree,Strongly disagree,,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Agree,,0,,,,,,,,,,,,,,,1,Usually,Strongly disagree,Strongly disagree,Strongly agree,Neither agree nor disagree,,Strongly agree,Disagree,Disagree,Disagree,Neither agree nor disagree,Disagree,Disagree,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,1,Sometimes,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Disagree,Agree,Disagree,Agree,Agree,Agree,Strongly disagree,,0,,,,,,,,,,,,,,,1,Usually,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,1,Sometimes,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Disagree,Strongly agree,Agree,Strongly agree,Strongly agree,Neither agree nor disagree,Disagree,,0,,,,,,,,,,,,,,,1,Usually,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,0,,,,,,,,,,,,,,
14018395714,1,0,1,0,0,,UML,,0,0,0,0,0,1,0,0,0,0,0,,ArgoUML,,Between 1 and 3 years.,,1,1,1,1,1,0,,Beginner,1,1,0,0,0,,1,0,0,0,0,0,0,0,,Bachelor's degree,,1,N/A,Agree,Agree,Agree,Neither agree nor disagree,,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
14018369599,1,0,1,1,0,,UML,,0,0,1,1,1,0,0,0,0,0,0,,Draw.io,,Between 1 and 3 years.,,0,0,1,1,1,0,,Advanced,0,0,1,0,1,Finance,1,0,0,0,0,1,1,0,,Master's degree or higher education,,1,Usually,Agree,Agree,Neither agree nor disagree,Strongly disagree,,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly disagree,Agree,Neither agree nor disagree,Agree,,1,Sometimes,Agree,Agree,Neither agree nor disagree,Strongly disagree,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,1,Sometimes,Strongly agree,Strongly disagree,Neither agree nor disagree,Strongly disagree,,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Agree,Strongly agree,Neither agree nor disagree,,0,,,,,,,,,,,,,,,1,Rarely,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,1,Rarely,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Strongly agree,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,,0,,,,,,,,,,,,,,,1,Usually,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,,Strongly agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,0,,,,,,,,,,,,,,,1,Always,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly agree,Strongly agree,,1,Always,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,,1,Rarely,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
14018369093,1,0,1,0,0,,UML,,0,1,1,0,1,0,0,0,0,0,0,,Draw.io,,More than 3 years,16,1,1,1,0,1,0,,Intermediate,1,1,1,0,0,,1,0,0,0,0,1,0,0,,Master's degree or higher education,,1,Sometimes,Agree,Agree,Strongly agree,Strongly agree,,Agree,Disagree,Neither agree nor disagree,Disagree,Disagree,Agree,Strongly disagree,,1,Sometimes,Disagree,Disagree,Agree,Neither agree nor disagree,,Agree,Strongly disagree,Strongly agree,Agree,Agree,Disagree,Strongly disagree,,1,Sometimes,Agree,Agree,Agree,Agree,,Agree,Disagree,Agree,Agree,Agree,Agree,Strongly disagree,,1,Sometimes,Agree,Agree,Agree,Agree,,Agree,Disagree,Agree,Agree,Agree,Agree,Strongly disagree,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,1,Usually,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,Agree,Disagree,Agree,Agree,Agree,Agree,Strongly disagree,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,1,Usually,Agree,Disagree,Agree,Agree,,Disagree,Disagree,Agree,Agree,Agree,Agree,Strongly disagree,,1,Usually,Agree,Agree,Agree,Agree,,Disagree,Agree,Agree,Agree,Agree,Agree,Strongly disagree,,1,Usually,Agree,Agree,Agree,Agree,,Disagree,Agree,Agree,Agree,Agree,Agree,Strongly disagree,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
14018306063,1,0,1,1,1,RDFS/SHACL,Other,RDFS/SHACL,0,0,0,0,0,0,0,0,0,0,1,TopBraid EDG,Other (please specify),TopBraid EDG,More than 3 years,30,1,1,0,0,1,0,,Expert,0,0,0,1,0,,0,0,0,0,1,1,1,0,,Master's degree or higher education,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,1,Sometimes,Strongly disagree,Agree,Strongly disagree,Strongly disagree,,Disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Agree,Agree,Strongly disagree,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,1,Usually,Strongly agree,Agree,Agree,Strongly disagree,,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,1,Sometimes,Neither agree nor disagree,Agree,Agree,Strongly disagree,,Neither agree nor disagree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
14018287886,1,0,0,0,1,OWL2 DL,Other,OWL,0,1,0,0,0,0,1,0,1,0,0,,MagicDraw,,More than 3 years,23,0,1,1,0,0,0,,Expert,0,0,1,0,0,,0,0,0,0,0,1,1,0,,Bachelor's degree,,0,,,,,,,,,,,,,,,1,Sometimes,Strongly disagree,Disagree,Disagree,Strongly disagree,,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,Strongly disagree,Aim to educate stakeholders on what CM is really for,0,,,,,,,,,,,,,,,1,Usually,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Education of SMEs needed to understand the nature of words v concepts,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Strongly agree,Agree,Strongly disagree,Education of SMEs; improve process,1,Always,Strongly disagree,Agree,Strongly disagree,Strongly disagree,More a reality than a frustration.,Disagree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly disagree,Would change to a tool that better conveys meanings if one existed.,1,Usually,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,The difficulty is built on - not really a frustration but a requirement,Agree,Disagree,Disagree,Agree,Strongly agree,Agree,Strongly disagree,Explaining the model to SMEs is a requirement; would use better tools if they existed. Improved methods.,0,,,,,,,,,,,,,,,1,Sometimes,Strongly disagree,Agree,Strongly disagree,Strongly disagree,,Disagree,Agree,Agree,Agree,Neither agree nor disagree,Strongly agree,Strongly disagree,Poor modularization choices but good metadata design - hard for current tools to consume but complexity of the domain is real.,0,,,,,,,,,,,,,,,1,Always,Strongly disagree,Agree,Strongly disagree,Strongly disagree,I felt frustrated because it didn't exist.,Agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Strongly disagree,Identified what the needed tool would be like but it hasn't been built. Helped develop Cameo Concept Modeler to partly address.,1,Always,Strongly disagree,Agree,Strongly disagree,Strongly disagree,,Disagree,Disagree,Agree,Strongly agree,Strongly agree,Agree,Strongly disagree,Remains an issue but CCM has some workarounds.,0,,,,,,,,,,,,,,,1,Always,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,Agree,Disagree,Agree,Disagree,Disagree,Agree,Strongly disagree,,1,Sometimes,Strongly disagree,Strongly disagree,Agree,Strongly disagree,,Agree,Disagree,Disagree,Agree,Agree,Strongly agree,Strongly disagree,Education. Also tried to point out examples of incoherent classification in existing company data structures.,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
14018246122,1,1,1,0,0,,UML,,1,0,0,0,1,0,0,0,0,0,0,,Visual Paradigm,,More than 3 years,5,0,1,0,1,0,0,,Intermediate,1,1,0,0,0,,1,0,0,0,0,1,1,0,,Master's degree or higher education,,1,Sometimes,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,,Disagree,Disagree,Agree,Agree,Agree,Neither agree nor disagree,Strongly disagree,,0,,,,,,,,,,,,,,,1,Usually,Agree,Disagree,Agree,Disagree,,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,1,Usually,Agree,Agree,Agree,Disagree,,Disagree,Disagree,Agree,Disagree,Neither agree nor disagree,Agree,Disagree,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
14018229605,1,0,1,0,0,,ER / EER,,0,0,0,1,0,0,0,0,0,0,0,,Lucidchart,,More than 3 years,40,0,1,0,0,0,0,,Expert,1,1,0,0,0,,0,0,0,0,0,1,0,0,,Master's degree or higher education,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,1,Sometimes,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,1,Sometimes,Strongly disagree,Neither agree nor disagree,Disagree,Strongly disagree,,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,1,Sometimes,Neither agree nor disagree,Agree,Strongly disagree,Strongly disagree,,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,1,Sometimes,Disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
14018219409,1,1,1,0,0,,UML,,1,1,0,0,0,0,0,0,0,0,0,,Enterprise Architect (Sparx Systems),,More than 3 years,15,1,1,0,0,0,0,,Expert,1,0,1,1,0,,0,0,0,0,0,1,1,0,,Master's degree or higher education,,1,Usually,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree,Disagree,Disagree,Disagree,,1,Sometimes,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree,Disagree,Disagree,Disagree,,1,Sometimes,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,1,Rarely,Agree,Agree,Agree,Disagree,,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,1,Sometimes,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,1,Sometimes,Neither agree nor disagree,Agree,Disagree,Disagree,,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,1,Rarely,Agree,Agree,Neither agree nor disagree,Disagree,,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,1,Sometimes,Agree,Agree,Neither agree nor disagree,Disagree,,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
14018206803,1,1,0,0,0,,OntoUML,,1,0,0,0,0,0,0,0,0,0,0,,Visual Paradigm,,Between 1 and 3 years.,,0,1,0,0,0,0,,Beginner,1,1,0,0,0,,1,0,0,0,0,0,0,0,,Bachelor's degree,,0,,,,,,,,,,,,,,,1,Sometimes,Strongly disagree,Strongly disagree,Agree,Neither agree nor disagree,,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,1,Usually,Neither agree nor disagree,Agree,Strongly disagree,Strongly disagree,,Strongly agree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,0,,,,,,,,,,,,,,,1,Sometimes,Strongly disagree,Agree,Neither agree nor disagree,Strongly disagree,,Strongly agree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,1,Sometimes,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,,Strongly agree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,
14018203404,1,1,1,1,0,,OntoUML,,0,0,0,0,1,0,0,0,0,0,0,,Draw.io,,More than 3 years,15,1,1,1,1,1,0,,Expert,1,0,1,1,0,,0,0,0,0,1,1,1,0,,Master's degree or higher education,,1,Rarely,Strongly disagree,Agree,Agree,Strongly disagree,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Lead me to force principals to agree on a use case,0,,,,,,,,,,,,,,,1,Usually,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Detailing the requirements of the model is part of the modeling job. How expressive do we need it to be?,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,"After detailing questions that must be answered in term of the model and ones that do not, we continue the modeling process",1,Usually,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,I consider this more of a challenge than a frustration,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,"We change the terminology, dig up an authoritative source, and so on",1,Always,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,"Again, this is an important task for which I am paid well, so more of a challenge than a frustration",Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Follow the process and iteratively create a verbalization that everyone agrees with,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,1,Sometimes,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,More of a challenge than a frustration. Only some aspects of verifying quality can be done automatically. Using a manual process does not add significantly to cost. Automatic verification can be useful but is seldomly the only way.,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
14018200337,1,0,1,0,0,,UML,,1,1,0,1,1,0,0,0,0,0,0,,Visual Paradigm,,More than 3 years,27,1,1,1,1,1,0,,Expert,1,1,1,0,0,,1,0,0,1,0,1,1,0,,Master's degree or higher education,,1,Sometimes,Agree,Neither agree nor disagree,Agree,Strongly disagree,,Disagree,Disagree,Agree,Neither agree nor disagree,Strongly agree,Agree,Strongly disagree,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,1,Sometimes,Disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,,Disagree,Disagree,Agree,Agree,Agree,Neither agree nor disagree,Disagree,,1,Sometimes,Agree,Neither agree nor disagree,Disagree,Strongly disagree,,Disagree,Disagree,Agree,Agree,Agree,Neither agree nor disagree,Strongly disagree,,1,Sometimes,Disagree,Disagree,Disagree,Strongly disagree,,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Strongly disagree,,0,,,,,,,,,,,,,,,1,Sometimes,Agree,Agree,Neither agree nor disagree,Strongly disagree,,Disagree,Disagree,Disagree,Agree,Agree,Agree,Strongly disagree,,1,Sometimes,Strongly agree,Strongly agree,Disagree,Strongly disagree,,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Strongly disagree,,0,,,,,,,,,,,,,,,1,Usually,Neither agree nor disagree,Agree,Neither agree nor disagree,Strongly disagree,,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,1,Sometimes,Disagree,Agree,Neither agree nor disagree,Strongly disagree,,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree,Disagree,Disagree,Strongly disagree,
14017612764,1,1,1,1,0,,ER / EER,,0,1,0,1,1,0,1,0,1,0,1,Proprietary,Other (please specify),Proprietary,More than 3 years,30,1,1,1,1,1,1,I have been involved in the design and implementation of structural concept modeling tools.,Expert,1,1,1,1,0,,1,0,0,0,1,1,1,0,,Bachelor's degree,,1,Sometimes,Agree,Agree,Agree,Disagree,,Disagree,Neither agree nor disagree,Agree,Strongly agree,Strongly agree,Agree,Strongly disagree,,1,Usually,Agree,Agree,Agree,Disagree,,Strongly disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,,1,Sometimes,Agree,Agree,Agree,Strongly disagree,,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,,1,Rarely,Neither agree nor disagree,Agree,Neither agree nor disagree,Strongly disagree,,Disagree,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
14018191047,0,1,0,0,0,,OntoUML,,1,0,0,0,0,0,0,0,0,0,0,,Visual Paradigm,,More than 3 years,8,1,1,0,0,1,0,,Intermediate,0,1,0,0,0,,0,0,0,0,0,1,0,0,,Master's degree or higher education,,1,Sometimes,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,Disagree,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,Agree,,1,Sometimes,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,Disagree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,,1,Sometimes,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,Neither agree nor disagree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,,1,Sometimes,Agree,Agree,Neither agree nor disagree,Disagree,,Neither agree nor disagree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,,1,Rarely,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,1,Sometimes,Agree,Agree,Neither agree nor disagree,Disagree,,Disagree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,,0,,,,,,,,,,,,,,,1,Sometimes,Disagree,Agree,Neither agree nor disagree,Disagree,,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,Agree,,1,Rarely,Agree,Agree,Neither agree nor disagree,Disagree,,Disagree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,1,Sometimes,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree,,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
